commit_id,project,fold,our_actionable_ratio,baseline_actionable_ratio
3051882f926851572c3755a9c0002441b5a2fc65,activemq,12,0.8,0.8
ce16735bb07e9df5e280c9cd9f82b331ee284f24,activemq,12,0.8,0.4
e89b7a57f1aa206830998ae022c041302a22baea,activemq,12,0.8,0.4
65cef691306dbd8cee37aa05b2621ebce264a07c,activemq,12,0.8,0.4
281d600ae2f9ba6c6bc7bee0e8025698b9a76563,activemq,12,0.8,0.6
3051882f926851572c3755a9c0002441b5a2fc65,activemq,13,0.8,0.6
ce16735bb07e9df5e280c9cd9f82b331ee284f24,activemq,13,0.8,0.6
e89b7a57f1aa206830998ae022c041302a22baea,activemq,13,0.8,0.6
65cef691306dbd8cee37aa05b2621ebce264a07c,activemq,13,0.8,0.6
281d600ae2f9ba6c6bc7bee0e8025698b9a76563,activemq,13,0.8,0.6
3051882f926851572c3755a9c0002441b5a2fc65,activemq,14,0.8,0.6
e89b7a57f1aa206830998ae022c041302a22baea,activemq,14,0.8,0.6
65cef691306dbd8cee37aa05b2621ebce264a07c,activemq,14,0.8,0.6
281d600ae2f9ba6c6bc7bee0e8025698b9a76563,activemq,14,0.8,0.6
3051882f926851572c3755a9c0002441b5a2fc65,activemq,15,0.8,0.8
ce16735bb07e9df5e280c9cd9f82b331ee284f24,activemq,15,0.8,0.6
e89b7a57f1aa206830998ae022c041302a22baea,activemq,15,0.8,0.6
65cef691306dbd8cee37aa05b2621ebce264a07c,activemq,15,0.8,0.6
281d600ae2f9ba6c6bc7bee0e8025698b9a76563,activemq,15,0.8,0.6
ce16735bb07e9df5e280c9cd9f82b331ee284f24,activemq,16,0.8,0.4
e89b7a57f1aa206830998ae022c041302a22baea,activemq,16,0.8,0.6
65cef691306dbd8cee37aa05b2621ebce264a07c,activemq,16,0.8,0.4
281d600ae2f9ba6c6bc7bee0e8025698b9a76563,activemq,16,0.8,0.4
e89b7a57f1aa206830998ae022c041302a22baea,activemq,17,0.8,0.6
65cef691306dbd8cee37aa05b2621ebce264a07c,activemq,17,0.8,0.6
c81a9348ee370627093d9291fba8b3ddb4400d1e,activemq,17,0.8,0.6
281d600ae2f9ba6c6bc7bee0e8025698b9a76563,activemq,17,0.8,0.6
ce16735bb07e9df5e280c9cd9f82b331ee284f24,activemq,18,0.6,0.6
e89b7a57f1aa206830998ae022c041302a22baea,activemq,18,0.8,0.6
65cef691306dbd8cee37aa05b2621ebce264a07c,activemq,18,0.8,0.6
c81a9348ee370627093d9291fba8b3ddb4400d1e,activemq,18,0.6,0.6
281d600ae2f9ba6c6bc7bee0e8025698b9a76563,activemq,18,0.8,0.6
ce16735bb07e9df5e280c9cd9f82b331ee284f24,activemq,19,0.6,0.4
5e05df1cb76af9a4d2e7d59cb3711747c5814b75,activemq,19,0.8,0.6
e89b7a57f1aa206830998ae022c041302a22baea,activemq,19,0.6,0.4
65cef691306dbd8cee37aa05b2621ebce264a07c,activemq,19,0.6,0.4
c81a9348ee370627093d9291fba8b3ddb4400d1e,activemq,19,0.6,0.4
281d600ae2f9ba6c6bc7bee0e8025698b9a76563,activemq,19,0.8,0.4
7b3117ab99033c23513cf4e5dce2be44591f0e41,camel,0,0.8,0.6
5737fe6086f60f9421c54e0096d5887f1449dc11,camel,0,1.0,0.6
9ac4768eedacd7ec89cbf7faf80dab35f3154481,camel,1,0.4,0.6
b2bb23a2d76395d5f139c6d21faa8c100fa4e8c7,camel,1,0.4,0.6
a8407f8aa67ef04395a55c9f1aaadf4a945b416d,camel,2,0.6,0.6
a8407f8aa67ef04395a55c9f1aaadf4a945b416d,camel,3,0.4,0.4
70f618adebbafef719bcb27f965b8e10ac5c3050,camel,3,0.6,0.6
a8407f8aa67ef04395a55c9f1aaadf4a945b416d,camel,4,0.4,0.4
70f618adebbafef719bcb27f965b8e10ac5c3050,camel,4,0.6,0.6
18a110cc4e78968b623564fe02484d54af7f906f,camel,4,0.6,0.4
70f618adebbafef719bcb27f965b8e10ac5c3050,camel,5,0.6,0.6
5737fe6086f60f9421c54e0096d5887f1449dc11,camel,6,0.6,0.6
70f618adebbafef719bcb27f965b8e10ac5c3050,camel,6,0.8,0.6
18a110cc4e78968b623564fe02484d54af7f906f,camel,6,0.8,0.6
70f618adebbafef719bcb27f965b8e10ac5c3050,camel,7,0.6,0.6
b2bb23a2d76395d5f139c6d21faa8c100fa4e8c7,camel,8,0.6,0.4
70f618adebbafef719bcb27f965b8e10ac5c3050,camel,8,0.8,0.6
18a110cc4e78968b623564fe02484d54af7f906f,camel,8,0.6,0.4
726bd103a6749409a33a61a724305fe85a344bc8,camel,8,0.6,0.6
b2bb23a2d76395d5f139c6d21faa8c100fa4e8c7,camel,9,0.8,0.6
